id,category_id,brand_name_en,description_ja,active_ingredient,caution_flags,state_note,last_reviewed_date,source_note,is_active,created_at
e46e5d62-0ba5-4348-881e-6bca1e29ac78,c0339434-afba-46e5-9a21-ab39a97e246e,Ego Soov Antiseptic Cream 50g,日焼けや軽いやけどの痛みを和らげ、感染予防を助ける抗菌クリーム,"Lidocaine hydrochloride 1% w/w, Cetrimide 1% w/w, Chlorhexidine gluconate 0.2% w/w","[""外用のみ"",""目に入れない"",""軽いやけどは先に冷水で冷やす"",""刺激が出たら中止""]",null,2026-08-22,https://www.chemistwarehouse.com.au/buy/31143-ego-soov-antiseptic-cream-50g,true,2026-08-22 09:08:26.018364+00
2289a2b4-ead0-4b4e-b1d5-1480dd52ab8f,fc3fe798-c2ee-4e7c-9ae9-100e853b71c7,Gastro-Stop,下痢の症状を抑えるカプセル(豪州で1位の下痢止めブランド),Loperamide 2mg,"[""症状が48時間以上続く場合は要受診""]",null,2026-08-22,Chemist Warehouse商品ページ,true,2026-08-22 09:08:26.018364+00
7be2e86e-acd5-448f-8da2-7b1350f93f73,fc3fe798-c2ee-4e7c-9ae9-100e853b71c7,Hydralyte Electrolyte Effervescent Orange 20 Tablets,嘔吐・下痢や発汗などで失われた水分と電解質の補給を助ける発泡タブレット,"Glucose 1.62g, Citric acid 672mg, Sodium, Potassium (per tablet)","[""腎疾患または心臓・血圧の薬を使用中の方は要相談""]",null,2026-08-22,https://www.chemistwarehouse.com.au/buy/61149/hydralyte-electrolyte-effervescent-orange-20-tablets,true,2026-08-22 09:08:26.018364+00
8dba0ac1-be08-4983-94d8-ef811c0129d2,fc3fe798-c2ee-4e7c-9ae9-100e853b71c7,Mylanta 2Go Antacid Double Strength Tablets Lemon Mint 48 Pack,胸やけ・消化不良・胃の不快感・ガスを和らげる携帯用のチュアブル制酸薬,"Magnesium hydroxide 400mg, Aluminium hydroxide 400mg, Simethicone 40mg","[""他の薬と2時間あける"",""腎疾患がある方は要相談"",""14日を超えて連用しない""]",null,2026-08-22,https://www.chemistwarehouse.com.au/buy/59433/mylanta-2go-antacid-double-strength-tablets-lemon-mint-48-pack,true,2026-08-22 09:08:26.018364+00
81c453ea-66a9-4d72-83e0-d4410afb9484,3e5d1058-bd33-4bd0-9633-cf67fd8e4a5f,Nurofen,頭痛・発熱・炎症に効く鎮痛剤,Ibuprofen 200mg,"[""胃腸に負担の可能性(NSAID)""]",null,2026-08-22,Chemist Warehouse商品ページ,true,2026-08-22 09:08:26.018364+00
74122868-fef5-44b4-b1ed-ff7575fac5d8,fa36d3ba-b9d8-4b69-b3b9-179588e1eb9c,Nurofen Cold and Flu Multi-Symptom Relief,発熱・鼻づまり・喉の痛みに効く鎮痛系感冒薬,"Ibuprofen 200mg, Phenylephrine hydrochloride 5mg","[""非眠気タイプ"",""胃腸に負担の可能性(NSAID)""]",null,2026-08-22,Chemist Warehouse商品ページ,true,2026-08-22 09:08:26.018364+00
c3d6c558-dd4e-4d9c-96b9-7fed8e9b7d58,3e5d1058-bd33-4bd0-9633-cf67fd8e4a5f,Nurofen Zavance Fast Pain Relief Tablets 24 Pack,頭痛・筋肉痛・歯痛などの痛みや炎症、発熱を和らげる速効タイプの鎮痛剤,Ibuprofen sodium dihydrate 256mg (equivalent to Ibuprofen 200mg),"[""胃潰瘍・腎臓・心臓の問題がある方は使用不可"",""NSAID""]",null,2026-08-22,https://www.chemistwarehouse.com.au/buy/75994/nurofen-zavance-fast-pain-relief-tablets-200mg-ibuprofen-24-pack,true,2026-08-22 09:08:26.018364+00
61484823-e3bd-4a5c-b3bc-19b99deb834c,3e5d1058-bd33-4bd0-9633-cf67fd8e4a5f,Panadol,頭痛・発熱に効く鎮痛解熱剤、胃に優しい,Paracetamol 500mg,null,null,2026-08-22,Chemist Warehouse商品ページ,true,2026-08-22 09:08:26.018364+00
65e85131-d0c0-46e0-927a-c64a4c870639,3e5d1058-bd33-4bd0-9633-cf67fd8e4a5f,Panadol Rapid Paracetamol Pain Relief 32 Caplets,頭痛・筋肉痛・歯痛・風邪に伴う痛みや発熱を素早く和らげる鎮痛解熱剤,Paracetamol 500mg,"[""他のパラセタモール製品と併用しない"",""用量超過は重い肝障害の危険""]",null,2026-08-22,https://www.chemistwarehouse.com.au/buy/145676/panadol-rapid-32-caplets,true,2026-08-22 09:08:26.018364+00
2caf81bc-17a2-464b-b821-0b4e3b2bfc6b,aee6c7a4-ff06-4e93-86c9-c63ab6cb7587,Savlon Antiseptic Cream for Cuts Grazes Bites 50g,切り傷・擦り傷・水ぶくれ・虫刺されなどに使える抗菌クリーム,"Chlorhexidine hydrochloride 1mg/g, Cetrimide 5mg/g","[""深い傷や頭・首の開放創には使用不可"",""外用のみ""]",null,2026-08-22,https://www.chemistwarehouse.com.au/buy/31228/savlon-antiseptic-cream-for-cuts-grazes-bites-50g,true,2026-08-22 09:08:26.018364+00
6794e92c-4bd0-436b-8374-5f853a3a4fb4,dfb2e7c8-8a6d-4998-8d2b-52eb32748926,Soov Bite,虫刺され・虫刺傷の痛みとかゆみを抑えるジェル,"Lidocaine hydrochloride 3%, Cetrimide 0.5%","[""湿疹・皮膚炎には使用不可""]",null,2026-08-22,Chemist Warehouse商品ページ,true,2026-08-22 09:08:26.018364+00
b893369a-0a32-45b3-bf42-9b19f376f179,dfb2e7c8-8a6d-4998-8d2b-52eb32748926,Stingose Spray Pack 100mL,虫刺されや植物による刺激の痛み・かゆみ・腫れを和らげる応急処置スプレー,Aluminium sulfate 200mg/mL（20% w/v）,"[""外用のみ"",""目に入れない"",""症状が続く場合は要相談""]",null,2026-08-22,https://www.chemistwarehouse.com.au/buy/31254/stingose-spray-pack-100ml,true,2026-08-22 09:08:26.018364+00
1c319c5a-1618-4c48-8c77-a93bdffb9af4,f7b4c641-a0c7-401c-b4d3-925aceeda3c6,Strepsils Throat Lozenges Soothing Honey & Lemon 36 Pack,喉の不快感を和らげる、抗菌成分入りの定番トローチ,"Dichlorobenzyl alcohol 1.2mg, Amylmetacresol 600micrograms","[""糖類を含む"",""症状が続く場合は要相談""]",null,2026-08-22,https://www.chemistwarehouse.com.au/buy/53953/strepsils-sore-throat-lozenges-antibacterial-honey-lemon-36-pack,true,2026-08-22 09:08:26.018364+00
3ad4df42-f373-4f85-916d-1952f29fa683,c5c9899c-49b3-48ea-8446-2edc143374b5,Telfast,非眠気タイプの花粉症・アレルギー薬、効果は最大24時間,Fexofenadine hydrochloride 180mg,"[""非眠気""]",null,2026-08-22,Chemist Warehouse商品ページ,true,2026-08-22 09:08:26.018364+00
bf41072c-823d-4bee-87ec-20b330192bfa,c5c9899c-49b3-48ea-8446-2edc143374b5,Zyrtec 10mg 10 Tablets,くしゃみ・鼻水・鼻のかゆみ・目のかゆみや涙目を最大24時間和らげる抗ヒスタミン薬,Cetirizine hydrochloride 10mg,"[""眠気が出る可能性あり"",""肝臓・腎臓疾患がある方は要相談""]",null,2026-08-22,https://www.chemistwarehouse.com.au/buy/151105/zyrtec-10mg-10-tablets,true,2026-08-22 09:08:26.018364+00
